SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
173617675592;bank_transfer;SETTLEMENT;2500.00;2026-08-13T09:19:51.000-04:00;0.00;2026-08-13T09:19:51.000-04:00;2500.00;0.00;;;2026-08-13T09:19:51.000-04:00
173615924536;available_money;SETTLEMENT;4500.00;2026-08-13T09:05:31.000-04:00;0.00;2026-08-13T09:05:31.000-04:00;4500.00;0.00;;;2026-08-13T09:05:31.000-04:00
172687889079;available_money;SETTLEMENT;3500.00;2026-08-13T08:24:09.000-04:00;0.00;2026-08-13T08:24:10.000-04:00;3500.00;0.00;;;2026-08-13T08:24:09.000-04:00
1748308457732;;SETTLEMENT;1029.76;2026-08-13T02:59:53.000-04:00;0.00;2026-08-13T02:59:53.000-04:00;1029.76;0.00;;;
1748308457732;;SETTLEMENT;1.64;2026-08-13T02:59:53.000-04:00;0.00;2026-08-13T02:59:53.000-04:00;1.64;0.00;;;
172584775613;available_money;SETTLEMENT;1.00;2026-08-13T00:04:58.000-04:00;0.00;2026-08-13T00:04:58.000-04:00;1.00;0.00;;;2026-08-13T00:04:58.000-04:00
173502845488;available_money;SETTLEMENT;1.00;2026-08-13T00:01:18.000-04:00;0.00;2026-08-13T00:01:18.000-04:00;1.00;0.00;;;2026-08-13T00:01:18.000-04:00
173502261976;available_money;SETTLEMENT;1.00;2026-08-12T23:54:36.000-04:00;0.00;2026-08-12T23:54:36.000-04:00;1.00;0.00;;;2026-08-12T23:54:36.000-04:00
173503100240;available_money;SETTLEMENT;1.00;2026-08-12T23:51:58.000-04:00;0.00;2026-08-12T23:51:58.000-04:00;1.00;0.00;;;2026-08-12T23:51:58.000-04:00
173501989892;available_money;SETTLEMENT;1.00;2026-08-12T23:46:58.000-04:00;0.00;2026-08-12T23:46:59.000-04:00;1.00;0.00;;;2026-08-12T23:46:58.000-04:00
173501585784;available_money;SETTLEMENT;1.00;2026-08-12T23:38:44.000-04:00;0.00;2026-08-12T23:38:44.000-04:00;1.00;0.00;;;2026-08-12T23:38:44.000-04:00
173501496472;available_money;SETTLEMENT;1.00;2026-08-12T23:23:59.000-04:00;0.00;2026-08-12T23:23:59.000-04:00;1.00;0.00;;;2026-08-12T23:23:59.000-04:00
173498321998;available_money;SETTLEMENT;1.00;2026-08-12T23:16:12.000-04:00;0.00;2026-08-12T23:16:12.000-04:00;1.00;0.00;;;2026-08-12T23:16:12.000-04:00
172582604355;available_money;SETTLEMENT;1.00;2026-08-12T23:12:48.000-04:00;0.00;2026-08-12T23:12:48.000-04:00;1.00;0.00;;;2026-08-12T23:12:48.000-04:00
172579417749;available_money;SETTLEMENT;1.00;2026-08-12T23:04:49.000-04:00;0.00;2026-08-12T23:04:50.000-04:00;1.00;0.00;;;2026-08-12T23:04:49.000-04:00
173497917028;available_money;SETTLEMENT;1.00;2026-08-12T23:03:05.000-04:00;0.00;2026-08-12T23:03:05.000-04:00;1.00;0.00;;;2026-08-12T23:03:05.000-04:00
